PARID,AGAPPL,ACRES
"D17000229920000","2265","11.728"
"D17000229960000","2265","29.368"
"D17000230000000","2265","77.689"
"D17000248440200","2265","0.227"
"D17000220520100","2265","16.35"
"D17000220600100","2265","29.915"
"J37000591480000","1598","39.92"
"D17000215760000","2516","47.997"
"D17000215800000","2516","108.38"
"D17000198480000","1564","83.48"
"D17000198520000","1564","7"
"O49000786760100","2612","34.74"
"N46000745760200","2629","15"
"F21000344160000","1349","73.132"
"F21000344200000","1349","53"
"I34000547520100","999999","1.382"
"F20000322160000","809","79.317"
"E18000271240000","3004","40"
"E18000271280000","3004","40"
"F20000303400000","164","97.88"
"M45000733680100","464","73.62"
"J37000589040000","1199","80"
"J37000586040000","1578","80"
"C13000137080000","1365","93.806"
"C13000137720000","999999","64.248"
"L41000644000000","49","77.88"
"L41000644040000","49","20"
"B09000091440000","424","13"
"B09000091480000","424","50.002"
"B09000091480200","424","78.04"
"A02000021360000","1641","80"
"M44000711760000","3116","28.275"
"O49000804320100","1618","53.53"
"O49000804360000","1618","6"
"O49000796200000","3056","57.67"
"A02000018560000","2074","32.268"
"I34000534600000","487","28.79"
"I34000535640000","487","30"
"I34000535680000","487","77.34"
"B09000096560000","3066","59.632"
"B09000096760000","3066","20"
"B09000096800000","3066","45"
"H26000427040100","553","38.25"
"D17000222840000","2265","66.05"
"D17000222920000","2265","12.5"
"D17000239520000","2265","78.78"
"B09000097080000","1789","42.5"
"B09000097120000","1789","79.285"
"B09000097160000","1789","12.5"
"I34000549840100","3094","24.63"
"I34000550200000","1792","160"
"H26000428000000","2758","78.41"
"G25000391800000","13","49.467"
"G25000391840000","13","53.831"
"G25000413800000","1869","67.395"
"M44000728000000","999999","24.992"
"M44000728080000","999999","37.5"
"M45000735720000","999999","56.47"
"N46000759360000","3120","45.857"
"F20000332720800","1387","116.14"
"M45000735120100","2241","9.566"
"M43000691320000","2685","80"
"K40000635400000","1937","78.372"
"K40000636000000","1738","64"
"K40000636040000","1738","77.529"
"K40000637120000","2458","27"
"K40000637200000","1428","58.5"
"K40000637920000","2555","74"
"K40000638880100","1589","40.008"
"K40000639280000","1970","104"
"L41000644880100","1153","24.73"
"L41000645040100","681","5.148"
"L41000645360200","2452","19.563"
"L41000646160000","349","31.47"
"L41000646200000","349","40"
"L41000646720000","1845","50.07"
"L41000646800000","1845","20"
"L41000646880000","402","63.71"
"L41000646920000","1845","56.106"
"L41000647480200","1783","6.096"
"L41000647480300","1783","55.155"
"L41000648200000","521","78.883"
"L41000648280000","567","40"
"L41000650120000","791","39.163"
"L41000650200000","322","86"
"L41000650320000","521","138.5"
"L41000650400000","681","77.22"
"L41000650680000","2545","43.012"
"L41000651200000","1021","69.084"
"L41000654280000","1538","80"
"L41000654760100","1585","26"
"L41000655000000","1646","80"
"L41000655120000","1646","7"
"L41000655160000","1646","115"
"L41000655200000","1646","154.99"
"L41000655280000","1646","160"
"L41000655320000","1646","45"
"L41000655400000","1646","80"
"L41000655480100","1354","95.168"
"L41000655680100","2623","75.877"
"L41000655720000","2623","8.47"
"L41000657160000","996","45.647"
"L41000657600000","1970","38.29"
"L41000657880000","2623","82.22"
"L41000660520000","2809","40"
"L41000660760000","2495","20"
"L41000660800000","2495","20"
"L41000660880000","829","117.77"
"L41000661120000","2623","82.25"
"L55000654720000","1585","28"
"M43000691080000","2694","65.5"
"M43000692240000","1192","12.613"
"M43000694000000","2338","136.44"
"M43000694080000","2338","49"
"M43000694160000","2338","18"
"M44000699320000","830","107.709"
"H28000456200000","999999","60.92"
"L41000654880000","3169","53.91"
"B07000072740000","1732","0.88"
"B09000096360100","1852","20.906"
"F20000318520700","309","2.962"
"K40000634000000","1250","77.238"
"M45000735560200","1925","29.531"
"F20000318640600","3076","50.365"
"N46000758800200","1664","11.971"
"L41000658720200","1398","17.938"
"O49000788840000","886","27.739"
"E18000258920200","1781","11.12"
"M44000714760000","1756","11.116"
"M44000715680000","1756","7.143"
"M44000716160000","1756","53.692"
"J37000602080000","2666","16.324"
"M44000720560000","2990","15"
"B09000085000000","305","40"
"G25000416440400","999999","37.276"
"K40000622960000","953","104.428"
"G25000408360000","1438","64.716"
"M44000711600000","650","1.678"
"G25000406880000","685","35.017"
"J37000596400000","999999","23.379"
"M44000701920000","1581","28.95"
"G25000394040000","375","40"
"G25000394080000","375","40"
"J37000594680000","57","78"
"M44000704520000","2830","24.592"
"M44000704560000","800","22.09"
"N46000744960100","867","129.807"
"N46000759960100","867","58"
"N46000760000000","867","40"
"H26000427400000","2758","9.911"
"H26000427440000","2758","75.728"
"H26000427480000","2758","94.058"
"H26000428040100","2758","76.243"
"H26000433280100","2758","154.499"
"H26000433360100","2758","156.326"
"H26000433680100","2758","64.379"
"H26000435920000","2758","10"
"H26000435960000","2758","18.25"
"H26000436080000","2758","37"
"H26000436120000","2758","40"
"H26000436160000","2758","1.848"
"H29000466400100","2758","60.24"
"H29000466840100","2758","50.762"
"H29000469120000","2758","104.742"
"B07000071240000","999999","4.368"
"B07000071400000","85","11"
"C13000132280000","230","83.289"
"A02000011360400","2774","41.567"
"K40000634360000","2777","79.617"
"O49000782320000","2785","40"
"B07000070080100","1913","29.771"
"B07000070200000","1913","0.988"
"B07000070240100","1913","0.086"
"B07000070360000","1913","62.39"
"B07000070520000","1913","0.988"
"B10000107920000","1913","7.84"
"G25000414800000","2163","78.332"
"M44000711680000","2014","2.095"
"M44000721560200","2014","42.146"
"B09000091200100","999999","47.216"
"C13000142080200","999999","11"
"M45000734240100","1932","10"
"K40000637840000","2541","80"
"F20000327120200","2845","20.314"
"F23000375000100","2547","2.35"
"C13000142040000","22","49.888"
"M43000693560000","98","80"
"M43000692240100","857","107.387"
"M43000692280000","857","42.17"
"M45000735120000","2241","70.434"
"M43000691360000","1409","113.22"
"M45000736320000","2132","80"
"B07000069920000","1913","91.371"
"A04000035200000","999999","36.15"
"L41000658600000","3053","10"
"L41000658640000","3053","63.731"
"M44000724560000","2899","42.098"
"M45000736480000","2207","40"
"D17000240200000","999999","22.594"
"D17000240240000","999999","81.566"
"E18000271200000","1311","60.105"
"E18000252600300","1112","59.769"
"F20000332680600","2505","14.279"
"J38000607320000","313","89.76"
"J38000607360000","313","50"
"N46000762280000","313","53.33"
"N46000762320000","313","114.01"
"N46000762360000","313","34.71"
"N46000762400000","313","26.681"
"N46000762440000","313","16.29"
"N46000762480000","313","34.834"
"J37000599640000","2767","36.332"
"J37000599760000","2767","39.39"
"J37000600080000","2767","3"
"J37000600120000","2767","77.535"
"J37000599400100","1888","29.322"
"J37000599800000","1888","53.8"
"J37000599840000","1888","36.35"
"J37000600000000","1888","1.59"
"J37000600040000","1888","10.665"
"F20000337120000","1162","159.443"
"F20000337960000","2520","68.023"
"G25000417840000","2520","0.203"
"G25000417880000","2520","80"
"G25000417920000","2520","36.053"
"I34000556280000","2520","39.16"
"G25000418000000","2520","18.766"
"G25000418040000","2520","80"
"G25000418080000","2520","20"
"N46000751280100","2522","95"
"I34000556360000","2520","39.4"
"A01000006600000","829","64.96"
"A01000006680100","829","71"
"A04000035560000","829","70"
"A04000035080000","2546","76.212"
"D17000216760300","2560","52.089"
"D17000208560100","2103","133.65"
"G25000418840000","1422","33.933"
"N46000742400000","2649","68.29"
"N46000764520000","2649","159.42"
"N46000764560000","2649","74.475"
"C13000145400000","999999","152.55"
"C13000145360000","999999","160"
"M44000699360100","999999","10.136"
"M44000699760000","2051","89.06"
"M44000703120000","1243","29.28"
"M44000703200000","485","20"
"M44000705040000","1966","90"
"M44000706920000","2425","14.318"
"M44000706960000","1031","8.939"
"M44000707000000","2425","38.596"
"M44000708200000","822","79.72"
"M44000708240000","822","1.38"
"M44000708280000","822","57.52"
"M44000709040000","1243","54.9"
"M44000709120000","1243","100.71"
"M44000710360000","1400","66.463"
"M44000712120000","2355","11"
"M44000712880000","545","18.306"
"M44000713240000","549","17"
"M44000713760000","1804","73.29"
"M44000713800100","1391","10"
"M44000717160000","1011","79.072"
"M44000717320000","1011","15.278"
"M44000720440300","3131","18.153"
"M44000721200000","1891","25"
"M44000722320100","476","90.13"
"M44000722320101","747","30"
"M44000724360000","1198","9.981"
"M44000725280000","1933","80"
"M44000727000000","2476","118.289"
"M44000727680000","2580","41.28"
"M44000727720000","2580","40"
"M44000727760000","2580","0.25"
"M44000727800000","2580","39.75"
"M44000728160000","2236","26"
"M45000726480000","1756","39.18"
"M45000733720000","1534","29.04"
"M45000733800000","1534","40"
"M45000733920000","1037","40"
"M45000734160000","530","39.439"
"M45000735200000","707","34.99"
"M45000735240000","1723","40"
"M45000735800000","999999","20"
"M45000736280000","1808","40"
"N46000741600000","2102","60"
"N46000741640100","901","52.644"
"N46000745440000","538","80"
"N46000748720000","999999","116.168"
"N46000748760000","999999","40"
"N46000749120000","991","27.914"
"N46000749320000","1261","40"
"N46000749440000","2416","19.18"
"N46000752400000","1434","41.25"
"N46000755400000","825","46.33"
"N46000756680100","573","38"
"N46000757400000","94","15.798"
"M44000703520000","2740","30.084"
"D17000204080000","625","80"
"H27000441880100","1929","51.533"
"K40000632680000","1783","108.871"
"M44000707080000","2169","86.321"
"G25000397800000","711","33.057"
"C13000136120000","713","24"
"C13000136160000","713","44.9"
"C14000153520100","713","4.103"
"G25000397760000","3027","55.5"
"D17000209640000","180","151.13"
"L41000650960000","897","79.001"
"K40000633800000","72","98.884"
"N46000748600000","1831","42.6"
"N46000748680000","1831","68.835"
"N46000748800000","1831","95.503"
"N46000748840000","1831","60.981"
"N46000748920000","1831","75"
"E18000274280000","1700","67.553"
"G25000390680100","511","14.944"
"G25000390720000","126","40"
"D17000218280000","1264","50.443"
"D17000218320000","1264","33"
"J37000597960200","2770","15"
"C13000134120200","2289","25.207"
"F20000314200000","1321","40.5"
"N46000748880000","999999","110.852"
"C13000135120000","1087","80"
"C13000134800000","1087","20.25"
"C13000134880000","1087","64.45"
"C13000135160000","1087","13"
"C13000135240000","1087","20"
"C13000135280000","1087","19.33"
"C13000135320000","1087","17.34"
"C13000135360000","1087","3"
"C13000135400000","1087","15"
"C13000135440000","1087","20"
"C13000135480000","1087","17"
"C13000135520000","1087","80"
"C13000135560000","1087","40"
"C13000144160000","1087","40"
"C13000144240000","1087","15"
"M45000734520500","2126","22.199"
"H28000453120000","2836","78.5"
"D17000217960000","1963","75.756"
"L41000652400000","2094","90.212"
"C13000133560100","1897","36.725"
"F20000311360000","2695","166.749"
"C13000140600000","1922","30.47"
"A02000020360000","958","133.167"
"I34000537200000","2056","40.837"
"I34000537240000","2056","39.584"
"I34000537280000","1994","12.893"
"O49000783800000","203","50"
"O49000783840000","203","40"
"O49000783880000","203","80"
"I33000504080000","1921","6.311"
"G25000401560000","411","20.533"
"K40000637280000","999999","9.108"
"H29000464800000","2285","74.892"
"H29000464840000","3167","79.752"
"H29000468640000","2285","18.04"
"K40000637320000","999999","121.47"
"K40000637400000","999999","36"
"I34000531680000","2784","65"
"I34000531640000","2784","80"
"L41000651520400","3179","25.157"
"N47000770120000","539","20"
"J37000598600000","1461","37.148"
"J37000600680000","1277","80"
"N46000747760000","2919","116.223"
"N46000747840000","2919","69"
"N46000747800000","837","53.016"
"N46000742240000","66","25.207"
"A02000023960000","1730","98"
"C13000138000000","122","20"
"F20000311920000","2419","82.566"
"A01000005120000","2037","80"
"B09000089720000","2173","80"
"B09000093280000","2173","79.5"
"J38000606600000","810","20"
"E18000283040000","1206","20.56"
"E18000270640000","1206","21.42"
"E18000270680000","1206","68"
"E18000282960000","1206","44.837"
"E18000283000000","1206","60.76"
"I34000537080000","1171","40.392"
"I34000537120000","751","94.343"
"A02000018480000","1366","21.02"
"A02000018520000","2074","32.569"
"A02000018600000","1472","20.08"
"A01000004840000","999999","80"
"L41000650840000","894","98.4"
"M45000732840000","56","99.14"
"M45000732880000","56","78.211"
"M45000735840100","56","63.25"
"C13000145480000","422","80"
"D17000199240200","2697","23.91"
"F20000335400700","207","16.357"
"J36000569000300","1025","17.249"
"H29000464680000","1657","45.3"
"H29000464720000","1657","30.36"
"J37000573840000","300","30"
"J37000573960000","1657","77.408"
"J37000574000000","1657","77.165"
"D17000190240000","79","77.053"
"A04000032880000","94","79.313"
"A04000033600000","94","35"
"A01000002120000","94","97.142"
"A01000005200000","94","156.28"
"N46000759160000","94","40"
"N46000742600100","976","23.336"
"N46000742600300","976","13.913"
"N46000742600200","417","5.027"
"I34000529120000","219","2"
"O49000796080000","2087","40"
"F20000304040000","246","121.025"
"F20000339440000","246","56.002"
"N46000760440000","999999","20"
"N46000760480000","999999","40"
"N46000760720000","2427","81.5"
"N46000761360000","2653","78.66"
"N46000763120000","3135","80"
"N46000772720000","741","35.5"
"N46000772760000","741","44.825"
"N47000770280000","3072","60"
"N47000772600000","2427","71.5"
"O49000782640000","725","100"
"O49000782680000","725","1"
"O49000784480100","1432","111.999"
"O49000785520000","373","100"
"O49000785560000","59","80"
"O49000786920000","598","80"
"O49000786960000","598","50"
"O49000787880000","663","87.12"
"O49000787920000","663","20"
"O49000787960000","663","60"
"O49000790080000","2373","76.75"
"O49000790120000","5","79.92"
"O49000792720000","640","50"
"O49000792760000","640","75"
"O49000793000000","1270","64.91"
"O49000793040000","1270","30"
"O49000793520000","1630","26"
"O49000796000102","1465","5"
"O49000796240000","1800","80"
"O49000796280000","1800","44.527"
"O49000796400000","752","76.27"
"O49000802080000","2105","80"
"O49000803200000","999999","39.321"
"O49000805200200","1827","43.892"
"O49000807040000","2573","79.57"
"O49000782240000","2573","116.492"
"O49000807360000","2618","60"
"P51010840340000","117","27.93"
"M44000712480000","577","49.845"
"C13000142480000","1039","13.791"
"C13000142520000","1039","54.183"
"P51041034650000","999999","53.152"
"P52000417560000","659","87.142"
"K40000630600000","1767","76.448"
"Q53011103520000","2175","103.9"
"Q53021194840000","1942","2.468"
"Q53041324920000","1378","8.809"
"M43000692160000","169","94.917"
"C13000136560000","2789","80"
"A01000002840000","1417","53.859"
"B07000065000200","999999","24.8"
"B07000065040000","999999","30.004"
"E18000280040000","2954","87.07"
"H28000454040000","983","36.883"
"N46000753600000","2873","72.725"
"H26000431760000","999999","40"
"J37000574160000","1374","99.005"
"B07000066080000","1056","77.318"
"B07000073280000","1056","96"
"B07000073320000","1056","25"
"B09000093800000","1704","26.87"
"I34000550120000","199","73.359"
"I34000550160000","199","20"
"B09000095880000","999999","39.851"
"I34000550280000","1832","62.7"
"I34000550320000","1832","62.7"
"D17000231200000","638","8.175"
"G25000393560000","337","60"
"O49000799000000","1848","36.774"
"N47000770400000","1879","49.43"
"D17000216240000","1484","40.895"
"N46000758720000","1664","43.399"
"G25000391200100","1545","38.964"
"F20000337560000","2499","82"
"J38000607400000","2666","53.33"
"F20000339480000","2672","55.139"
"N46000759400000","74","20.167"
"N46000743440000","999999","78.042"
"D17000218520000","1274","85.33"
"L41000654160100","1256","7.81"
"I34000537480000","723","78"
"I34000555960000","723","78.51"
"A02000019280000","1467","81.82"
"I34000553400100","1023","67.199"
"M44000711160000","1426","22.36"
"M44000711200000","1426","77.615"
"F20000337720000","2508","69.567"
"J37000588680000","1264","47"
"J37000588720000","1264","69.7"
"F20000305360000","852","85.163"
"M45000733320000","477","33.62"
"N46000747000100","1136","73.899"
"N46000743320000","165","62.364"
"N46000743280000","165","19.395"
"E18000258520200","327","28.726"
"D17000220041200","1350","16.096"
"J38000607040000","810","20"
"A02000013400000","753","84.73"
"D17000199320000","753","63.4"
"J38000606520100","753","10.16"
"J38000606520200","753","69.84"
"N46000742080000","40","49.4"
"M44000708800000","354","35.016"
"E18000264920000","823","58.497"
"E18000264960000","823","3.535"
"E18000289680000","472","72.04"
"L41000649680000","749","7"
"L41000649760000","749","70"
"K40000630320000","1161","57.936"
"I34000536760000","746","37.75"
"I34000536800000","746","28"
"I34000536880000","746","15"
"I34000536960000","746","25"
"C13000140840000","748","74.018"
"C13000140880000","748","50"
"G25000394960000","466","81.11"
"G25000395000000","466","80"
"N46000747440000","2506","38.997"
"G25000399440000","1046","56.2"
"G25000399480000","1046","40"
"G25000408800000","566","10"
"N46000742000100","2641","13.289"
"O49000792360000","1122","79.38"
"O49000792400000","1122","34.999"
"M45000733080100","1223","11.64"
"M45000733080000","1223","20.61"
"M45000736400000","1223","40"
"N46000742000000","2953","27.394"
"N46000742040000","2953","67.663"
"G25000408200000","827","77.67"
"G25000408240000","827","80"
"M45000733480000","2033","39.922"
"H28000458480000","999999","40"
"B09000094520000","2992","19"
"B09000094560000","2992","30"
"I34000550720000","1851","18.29"
"F20000330160100","898","20.826"
"F20000330160200","898","6.745"
"F20000330160300","898","8.204"
"F20000330160500","898","38.613"
"G25000404080000","1869","75.52"
"G25000404120100","1869","31.114"
"G25000394720000","2371","49.986"
"G25000394880000","2371","77.27"
"G25000395960100","701","25.092"
"G25000397920000","1869","78.074"
"G25000403360000","1869","40"
"G25000412560000","2371","35.45"
"G25000412600000","2371","40"
"H28000449760100","2371","53.533"
"F20000339480100","246","17.44"
"I34000551320900","863","12.519"
"K40000621240000","2821","78.28"
"N47000769840000","2821","10"
"J37000580560000","302","59.97"
"J37000580600000","302","3.44"
"G25000393320000","1485","40.117"
"G25000393400000","1485","6.1"
"C13000141680000","1744","25.06"
"J36000568760100","2475","49.999"
"J36000568800000","2475","32.344"
"F20000306120000","391","76.644"
"G25000394680000","1669","77.595"
"C13000135600000","2210","41.544"
"A02000013240000","1307","29.75"
"A02000013160000","1307","21.5"
"A02000013200000","1307","43.42"
"M43000693720100","862","10.302"
"D17000199240000","440","55.71"
"F20000307440000","1940","77.439"
"F20000307480000","1284","78"
"N46000757040000","1103","80.744"
"C13000129680300","1044","50.767"
"C13000130040100","1044","17.84"
"G25000418400000","661","38.63"
"G25000418440000","661","77.869"
"C13000130160000","1053","6.57"
"E18000283580000","1960","37.79"
"A04000033640000","94","78.544"
"J37000582360000","918","48.579"
"N46000745760000","1894","50.817"
"N46000750520000","1894","40"
"C13000130640000","1290","117.951"
"G25000419040000","2711","7.6"
"D17000221080000","2446","13.01"
"C13000130760000","1290","78"
"I34000546960000","957","57.728"
"I34000547000000","957","36.573"
"B09000087600000","637","40"
"B09000087640000","637","80"
"B09000090880000","637","25"
"B09000090920000","637","20"
"B09000091000000","637","38.525"
"B09000091040000","637","19.362"
"B09000093480000","637","5"
"L41000649280000","652","55.571"
"L41000649280500","580","20.387"
"A02000016040000","669","4.126"
"A02000016080000","669","78.584"
"A02000016120000","669","44.147"
"E18000258840000","532","60"
"M45000734480000","2242","32.159"
"M43000693680000","2028","80"
"D17000237440000","1431","38"
"D17000237480000","999999","13.694"
"D17000237520000","1431","9"
"C13000136920000","2398","160"
"M44000707680000","420","39.277"
"A05000041160100","1476","20.712"
"B09000093740100","1817","24.997"
"L41000659680000","1104","21"
"L41000659760000","1104","19"
